,"nazwa","wyswietlacz","pamiecRAM","pamiecwbudowana","aparat_foto","cena","liczba_opinii","ocena_klienta","status_opinii"
1,"Motorola Moto E7 Plus ","HD+",4,64,48,499,199,"5","wiecej 100 opinii"
2,"Motorola Moto g9 play","Max Vision HD+",4,64,48,699,38,"5","mniej 50 opinii"
3,"Motorola Moto E6s","IPS",2,32,12,399,258,"5","wiecej 100 opinii"
4,"Motorola Moto g9 power","IPS",4,128,64,749,57,"5","50-100 opinii"
5,"Motorola Moto G Pro ","IPS",4,128,48,1499,9,"4","mniej 50 opinii"
6,"Motorola Moto g100","Full HD+",8,128,64,2499,7,"5","mniej 50 opinii"
7,"Motorola Moto g9 plus","IPS",4,128,64,899,88,"5","50-100 opinii"
8,"Motorola Moto G8 Power 4","OLED",4,64,16,599,104,"5","wiecej 100 opinii"
9,"Motorola Moto E7i Power","Max Vision HD+",2,32,13,449,4,"4","mniej 50 opinii"
10,"Motorola EDGE","OLED",6,128,64,2599,30,"5","mniej 50 opinii"
11,"Motorola Moto G8","OLED",4,64,16,669,60,"5","50-100 opinii"
12,"Motorola Moto g5G plus 6","IPS",6,128,48,1899,55,"5","50-100 opinii"
13,"Motorola One Zoom","OLED FHD+",4,128,48,1099,61,"4","50-100 opinii"
14,"Motorola Moto g30","IPS",6,128,64,899,22,"5","mniej 50 opinii"
15,"Motorola Moto g9 plus 4","IPS",4,128,64,899,34,"4","mniej 50 opinii"
